Ref,Val,Package,PosX,PosY,Rot,Side
"D118","LED_RBAG","NHB2020RGBAHF",201.074985,-100.050902,90.000000,top
"D119","LED_RBAG","NHB2020RGBAHF",201.074985,-96.050903,90.000000,top
"D120","LED_RBAG","NHB2020RGBAHF",201.074985,-92.050904,90.000000,top
"D121","LED_RBAG","NHB2020RGBAHF",201.074985,-88.050904,90.000000,top
"D122","LED_RBAG","NHB2020RGBAHF",201.074985,-84.050905,90.000000,top
"D123","LED_RBAG","NHB2020RGBAHF",205.074987,-104.050904,90.000000,top
"D124","LED_RBAG","NHB2020RGBAHF",205.074987,-100.050905,90.000000,top
"D125","LED_RBAG","NHB2020RGBAHF",205.074984,-96.050903,90.000000,top
"D126","LED_RBAG","NHB2020RGBAHF",205.074984,-92.050904,90.000000,top
"D127","LED_RBAG","NHB2020RGBAHF",205.074983,-88.050904,90.000000,top
"D128","LED_RBAG","NHB2020RGBAHF",205.074984,-84.050905,90.000000,top
"D129","LED_RBAG","NHB2020RGBAHF",209.074986,-104.050904,90.000000,top
